Date (2020),District(s),Origin,Cases,Cases,Type of transmission,Source(s)
Date (2020),District(s),Origin,New,Total,Type of transmission,Source(s)
Jan-30,Thrissur,Wuhan,1,1,T,[71]
Feb-2,Alappuzha,Wuhan,1,2,T,
Feb-3,Kasargod,Wuhan,1,3,T,
Mar-9,Pathanamthitta,Italy,3,8,T,[72][21]
Mar-9,Pathanamthitta,Italy,2,8,PTP,[72][21]
Mar-9,Ernakulam,Italy,1,9,T,[31]
Mar-10,"Pathanamthitta (4), Kottayam (2)",Italy,6,17,PTP,[73][74][75]
Mar-10,Ernakulam,Italy,2,17,T,[73][74][75]
Mar-12,"Kannur, Thrissur","Qatar, UAE",2,19,T,[76]
Mar-13,Thiruvananthapuram,"Spain, UK",3,22,T,[77][78]
Mar-15,"Thiruvananthapuram, Idukki",None,2,24,PTP,[75]
Mar-16,"Kasargod (1), Malappuram (2)","Saudi Arabia, UAE",3,27,T,[77][79][80]
Mar-19,Kasargod,None,1,28,PTP,[75][78]
Mar-20,"Ernakulam (6), Kasargod (6)",Middle East,12,40,PTP,[80]
Mar-21,"Ernakulam (3), Kannur (3), Kasargod (6)",Middle East,12,52,T,[81]
Mar-22,"Ernakulam (2), Malappuram (2), Kannur (4), Kasargod (5), Kozhikode (2)",Middle East,15,67,T,[81]
Mar-23,"Ernakulam (2), Kannur (5), Kasargod (19), Pathanamthitta (1), Thrissur (1)",UAE,25,95,T,[82][83]
Mar-23,"Ernakulam (2), Kannur (5), Kasargod (19), Pathanamthitta (1), Thrissur (1)",UAE,3,95,PTP,[82][83]
Mar-24,"Alappuzha (1), Ernakulam (1), Kasargod (6), Kottayam (1), Kozhikode (2), Malappuram (1), Palakkad (1), Thiruvananthapuram (1)","Qatar, UAE, UK",12,109,T,[78]
Mar-24,"Alappuzha (1), Ernakulam (1), Kasargod (6), Kottayam (1), Kozhikode (2), Malappuram (1), Palakkad (1), Thiruvananthapuram (1)",None,2,109,PTP,[78]
Mar-25,"Ernakulam (3), Idukki (1), Kozhikode (1), Palakkad (2), Pathanamthitta (2)","UAE, UK, France",6,118,T,[84]
Mar-25,"Ernakulam (3), Idukki (1), Kozhikode (1), Palakkad (2), Pathanamthitta (2)",None,3,118,PTP,[84]
Mar-26,"Idukki (1), Kasargod (3), Malappuram (3), Thrissur (2), Wayanad (1)",Middle East,10,137,PTP,[85]
Mar-26,Kannur,UAE,9,137,T,[85]
Mar-27,"Kasargod (34), Kannur (2), Kollam (1), Kozhikode (1), Thrissur (1)",UAE,25,176,T,[86]
Mar-27,"Kasargod (34), Kannur (2), Kollam (1), Kozhikode (1), Thrissur (1)",None,14,176,PTP,[86]
Mar-28,"Kasargod (1), Kollam (1), Palakkad (1), Malappuram (1), Thiruvananthapuram (2)",None,6,182,PTP,[87]
Mar-29,"Ernakulam (1), Kannur (8), Kasargod (7), Malappuram (1), Palakkad (1), Thrissur (1), Thiruvananthapuram (1)",UAE,18,202,T,[88][89]
Mar-29,"Ernakulam (1), Kannur (8), Kasargod (7), Malappuram (1), Palakkad (1), Thrissur (1), Thiruvananthapuram (1)",None,2,202,PTP,[88][89]
Mar-30,"Idukki (2), Kannur (11), Kasargod (17), Wayanad (2),",Middle East,17,234,T,[90][91]
Mar-30,"Idukki (2), Kannur (11), Kasargod (17), Wayanad (2),",None,15,234,PTP,[90][91]
Mar-31,"Kannur (1), Kasargod (2), Kollam (1), Thiruvananthapuram (2), Thrissur (1)",None,7,241,PTP,[92]
Apr-1,"Kasargod (12), Ernakulam (3), Thiruvananthapuram (2), Thrissur (2), Malappuram (2), Kannur (2), Palakkad (1)",Middle East,9,265,T,[93]
Apr-1,"Kasargod (12), Ernakulam (3), Thiruvananthapuram (2), Thrissur (2), Malappuram (2), Kannur (2), Palakkad (1)",None,15,265,PTP,[93]
Apr-2,"Idukki (5), Kannur (1), Kasargod (8), Kollam (2), Kozhikode (1), Malappuram (1), Pathanamthitta (1), Thiruvananthapuram (1), Thrissur (1)","Qatar, UAE",12,286,T,[94]
Apr-2,"Idukki (5), Kannur (1), Kasargod (8), Kollam (2), Kozhikode (1), Malappuram (1), Pathanamthitta (1), Thiruvananthapuram (1), Thrissur (1)",None,9,286,PTP,[94]
Apr-3,"Kannur (1), Kasargod (7), Thrissur (1)",None,9,295,PTP,[95]
Apr-4,"Alappuzha (1), Ernakulam (1), Kannur (1), Kasargod (6), Kollam (1), Palakkad (1)",UAE,5,306,T,[96]
Apr-4,"Alappuzha (1), Ernakulam (1), Kannur (1), Kasargod (6), Kollam (1), Palakkad (1)","Delhi (3), Nagpur (1)",4,306,PTP,[96]
Apr-4,"Alappuzha (1), Ernakulam (1), Kannur (1), Kasargod (6), Kollam (1), Palakkad (1)",None,2,306,PTP,[96]
Apr-5,"Kozhikode (5), Pathanamthitta (1)",UAE,1,314,T,[97]
Apr-5,"Kozhikode (5), Pathanamthitta (1)",Delhi,4,314,PTP,[97]
Apr-5,"Kannur (1), Kasargod (1)",None,3,314,PTP,[97]
